country,week,gkg_n_docs,gkg_mean_tone
SU,2025-11-30,108,-1.7719254055447307
UZ,2025-11-30,59,0.03524524896441777
ER,2025-11-30,24,-1.6507487223987078
KE,2025-12-07,292,-0.9074444311990248
NU,2025-12-07,71,-0.47070966126454206
HA,2025-12-07,175,1.2486245758294368
AF,2025-12-07,584,-2.346893804642982
CO,2025-12-07,179,-1.1354620027006168
PK,2025-12-07,874,-2.0385723335976094
VE,2025-12-07,763,-3.075856299891988
SU,2025-12-07,251,-3.665451998177121
ET,2025-12-07,101,-1.4997706268620858
BM,2025-12-07,54,-1.7624781862781167
KG,2025-12-07,32,-1.043117723946882
UZ,2025-12-07,102,1.8038572192078342
EC,2025-12-07,85,1.3435190972364968
PE,2025-12-07,182,1.3204650957899975
SO,2025-12-07,271,-3.7197745938010134
OD,2025-12-07,44,-2.014682623103036
BL,2025-12-07,33,-0.0029421864162654746
ER,2025-12-07,26,-3.51267041712377
TI,2025-12-07,20,-2.502629818109202
PK,2025-12-14,681,-2.49885946689925
KE,2025-12-14,255,-0.6490472052851074
AF,2025-12-14,251,-3.111567157374783
VE,2025-12-14,542,-2.264155402626547
CO,2025-12-14,184,-1.1785679212267606
SU,2025-12-14,201,-4.512994408649226
OD,2025-12-14,107,-4.317235917580919
SO,2025-12-14,146,-3.592542185145394
BL,2025-12-14,63,-2.1782880018510142
PE,2025-12-14,138,-1.8257933034647322
BM,2025-12-14,43,-3.5711846948462025
ET,2025-12-14,136,0.019630204902570978
NU,2025-12-14,27,-1.2545357056269284
HA,2025-12-14,190,-0.791291566641101
EC,2025-12-14,126,-1.7539693710883777
UZ,2025-12-14,38,0.7053272140228257
KG,2025-12-14,21,-0.02825800337416369
ER,2025-12-14,17,-2.329653101674173
TI,2025-12-14,10,-0.519090479105502
VE,2025-12-21,1092,-5.069650988526407
PK,2025-12-21,791,-2.8800905409431796
PE,2025-12-21,109,-0.10904139671825136
SU,2025-12-21,247,-3.1595680300915867
KE,2025-12-21,206,-0.6480072107266697
